"V1" "V2" "V3" "V4" "V5"
"1" 0.904357548199112 0.0293923434852394 0.524858086923336 0.357488901537584 0.333333333333333
"2" 0.899750443857082 0.790745100601395 0.750755411697122 1 1
"3" 0.921984443434421 0.482373154640837 0.285181968934691 0.127178246938394 0.333333333333333
"4" 0.993683185274531 0.468094417173615 0.450991570257718 0.445836441624608 0.333333333333333
"5" 0.963108686308911 0.841541868789776 0.888370578132417 1 1
"6" 0.952029824027516 0.44881338483323 0.22769061612625 1 0.333333333333333
"7" 0.932404201762638 0.271752796654128 0.38010760767052 0.708279638097159 0.666666666666667
"8" 0.818043341352347 0.189755715131172 0.290148405052035 0.733333800435256 0.666666666666667
"9" 0.870177462541593 0.259131620174307 0.309338296467009 0.695493951588944 0.333333333333333
"10" 0.964908551664986 0.229130648901886 0.485380299756787 0.445836441624608 0.333333333333333
"11" 0.779875090440483 0.0707288811017073 0.406544906629666 0.173535285038204 0.333333333333333
"12" 0.985556905046525 0.311132638037665 0.352336600794798 0.881505166215032 0.333333333333333
"13" 0.992078833860666 0 0.483682020554747 0 0.666666666666667
"14" 0.946301511494748 0.428442755365001 0.647462253349975 0.526491426563264 1
"15" 0.953910582948802 0.72561176606333 0.968494391759271 1 1
"16" 0.885399101194772 0.248053904879466 0.427146605907948 0.60068682037513 0.666666666666667
"17" 0.990464165003476 0.0371397106638217 0.340580603765669 0.127178246938394 0.333333333333333
"18" 0.875354556099991 0.475764729493548 0.31212817477951 1 0.333333333333333
"19" 0.948225506671684 0.549401392968127 0.482545240738926 1 0.666666666666667
"20" 1 0.532605925508641 0.340580603765669 1 0.333333333333333
"21" 0.77226601898643 0.0554315060437852 0.301788076662073 0.338762050971723 0.333333333333333
"22" 0.830599964850734 0.251060862011223 0.463235051134931 0.708279638097159 0.666666666666667
"23" 0.326224156128169 0.512106842656793 0.514619700243213 1 1
"24" 0.551679458840445 0.96304254636187 0.423796074352028 1 0.333333333333333
"25" 0.977158793011895 0.568237500461598 0.538706757248902 1 0.666666666666667
"26" 0.827519188260668 0.299954133035163 0.627721216052345 0.849353472334407 0.666666666666667
"27" 0.919847578264251 0.370027049154711 0 1 0.333333333333333
"28" 0.978861037782766 0.516356405199808 0.657276289765206 1 0
"29" 0.128258170142401 0.621678798230426 0.524353216070605 1 0.666666666666667
"30" 0.998435632683994 0.709416762846565 0.981876703810767 1 1
"31" 0.928288041676561 0.678815287202588 0.666822723896594 1 1
"32" 0.872779352581791 0.477434837620188 0.66174095289368 0.76968934540081 1
"33" 0.92620437708758 0.881092740118428 1 1 1
"34" 0.404097899562624 0.645874351237758 0.294071447502504 1 0.333333333333333
"35" 0.966695606482933 0.573762155773836 0.338009273660289 1 0.333333333333333
"36" 0.76441912592617 0.3234279253601 0.196903846629142 1 0.333333333333333
"37" 0.511420603494052 0.102882384252956 0.450991570257718 0.586315252256016 0.333333333333333
"38" 0.690855877062711 0.220758817319427 0.244941783848612 0.280198521292923 0.333333333333333
"39" 0.867548327084193 0.316803535600357 0.288170276198778 0.952453805129701 0.333333333333333
"40" 0.59433773312137 0.064056131285732 0.216916600645428 0.981273149434139 0.333333333333333
"41" 0.982231291633566 0.758918556263593 0.64888121324833 1 1
"42" 0.804825545274448 0.396004762705436 0.626591162756024 0.127178246938394 0.666666666666667
"43" 0.94436265906511 0.62388111638202 0.471557667535288 1 0.666666666666667
"44" 0.851167727590598 0.335095330980321 0.472144638126577 0.733333800435256 0.666666666666667
"45" 0.569621385662856 0.0427826009411219 0.291133294240704 0.4288277520242 0.333333333333333
"46" 0.968470031832707 0.0772123072845287 0.435710837935231 0.46253865161387 0
"47" 0.856747515929753 0.671103574200671 0.602380932079006 1 1
"48" 0.62391071443686 0.397583528534659 0.54015856807419 1 0.666666666666667
"49" 0.917692370679493 0.619603974491443 0.244941783848612 1 0
"50" 0.924103275772179 0.597584846601672 0.608790774723865 1 0.666666666666667
"51" 0.435523879266231 0.418612188301462 0.190407781335568 1 0.333333333333333
"52" 0 1 0.584974542289392 1 0.666666666666667
"53" 0.908881637118999 0.153876363587658 0.440237023089931 0.60068682037513 0.666666666666667
"54" 0.463450427521569 0.0707288811017073 0.361304277570774 0.300133646080009 0.333333333333333
"55" 0.97371928522548 0.260568891860863 0.414240334549367 0.642511098462415 0.333333333333333
"56" 0.662614889014266 0.843506363405007 0.606800275470248 1 1
"57" 0.650364647667357 0.774177504406569 0.517722774105815 1 0.666666666666667
"58" 0.877903614968614 0.979093865706327 0.763743839983627 0.990683865547959 1
"59" 0.674295141144806 0.567116359480906 0.37239522809981 1 0.666666666666667
"60" 0.988839045142435 0.768117907856557 0.726655789627022 1 1
"61" 0.783594864282869 0.540316981342923 0.412158299420903 1 0.333333333333333
"62" 0.77609937805671 0.286927447126708 0.210784607211321 0.76968934540081 0.333333333333333
"63" 0.833643397774191 0.882557803308345 0.490982465282926 0.981273149434139 0.666666666666667
"64" 0.644007848844029 0.612957690078282 0.892101994007327 1 1
"65" 0.174035492508319 0.370912807801887 0.370047993326556 1 0.666666666666667
"66" 0.853973121491165 0.256229670767929 0.343979930231529 0.541813222931115 0.333333333333333
"67" 0.656564472342415 0.561810389406146 0.344824629979479 1 0.333333333333333
"68" 0.212739667085725 0.213833273843964 0.368474382247588 0.357488901537584 0.333333333333333
"69" 0.862205994861075 0.186806958800665 0.259234702071914 0.682529438500552 0
"70" 0.743656878171174 0.604527516976755 0.895444109128933 0.912578944323407 1
"71" 0.578133392070943 0.74687281345361 0.367684916578947 1 0.666666666666667
"72" 0.957630356791187 0.340207970277515 0.458998361359967 1 0.333333333333333
"73" 0.739290156941791 0.234813634879767 0.347346570359866 0.495066465432893 0.333333333333333
"74" 0.348070985016637 0.276478749756109 0.515138792815244 0.932730772226727 0.666666666666667
"75" 0.787260332914275 0.873034531824333 0.613130443386833 1 1
"76" 0.911113475298578 0.283064953293878 0.608393579133109 0 0.666666666666667
"77" 0.721021727938156 0.460157687658259 0.37239522809981 1 0.666666666666667
"78" 0.938454618434489 0.520757943649782 0.49594890140027 1 0.666666666666667
"79" 0.836650381522585 0.757294345838159 0.64888121324833 1 1
"80" 0.797946206945178 0.697345585416731 0.683569020766224 1 1
"81" 0.790873059156667 0.406833713204025 0.69399308331866 0.804672650921871 0.666666666666667
"82" 0.560810652102362 0.277145977806375 0.414931604025053 0.76968934540081 0.666666666666667
"83" 0.275839729420223 0.440816577142395 0.102977146875354 1 0
"84" 0.808195799125248 0.21645500942333 0.561697286115818 0.46253865161387 0.666666666666667
"85" 0.936453969267649 0.528206839817598 0.606000896411364 1 1
"86" 0.987203338106677 0.064056131285732 0.148676558977442 0.556885873329056 0.666666666666667
